1736210500.8285167, 199.98.50.213, validate_cpf, 0.01
1736210500.829517, 121.51.176.72, validate_cpf, 0.01
1736210500.830517, 84.212.194.153, validate_cpf, 0.01
1736210500.8315177, 153.29.214.122, validate_cpf, 0.01
1736210500.8315177, 55.101.33.81, mul, 0.01
1736210500.8325174, 47.145.6.202, sub, 0.01
1736210500.8325174, 215.192.81.63, mul, 0.01
1736210500.8335185, 13.44.167.138, sub, 0.01
1736210500.834518, 138.230.3.59, mul, 0.01
1736210500.834518, 195.122.198.14, sub, 0.01
1736210500.8355181, 129.59.175.33, mul, 0.01
1736210500.8365192, 91.183.56.212, sub, 0.01
1736210500.8365192, 232.163.144.92, mul, 0.01
1736210500.8375187, 211.101.125.8, sub, 0.01
1736210500.8375187, 107.11.214.31, mul, 0.01
1736210500.8385189, 67.48.3.245, sub, 0.01
1736210500.839519, 23.124.88.6, mul, 0.01
1736210500.839519, 136.248.105.190, sub, 0.01
1736210500.8405201, 44.132.23.200, mul, 0.01
1736210500.8415196, 25.96.199.214, sub, 0.01
1736210500.8415196, 152.90.177.73, mul, 0.01
1736210500.84252, 91.125.199.98, sub, 0.01
1736210500.8435202, 129.165.107.124, mul, 0.01
1736210500.8435202, 142.44.53.61, sub, 0.01
1736210500.84452, 55.124.171.41, mul, 0.01
1736210500.84452, 199.207.123.93, sub, 0.01
1736210500.8455215, 22.11.162.193, mul, 0.01
1736210500.8465207, 105.189.85.12, sub, 0.01
1736210500.8465207, 159.211.118.70, mul, 0.01
1736210500.8475218, 204.188.64.13, sub, 0.01
1736210500.848522, 233.75.92.201, mul, 0.01
1736210500.848522, 83.158.99.29, sub, 0.01
1736210500.8495214, 33.190.126.248, mul, 0.01
1736210500.8505223, 197.218.48.59, sub, 0.01
1736210500.8505223, 214.129.47.172, mul, 0.01
1736210500.8515217, 176.249.5.112, sub, 0.01
1736210500.8515217, 127.121.34.56, mul, 0.01
1736210500.8525221, 49.82.56.205, sub, 0.01
1736210500.853522, 141.137.33.104, mul, 0.01
1736210500.853522, 65.12.90.240, sub, 0.01
1736210500.8545225, 12.207.145.98, mul, 0.01
1736210500.8555236, 77.185.248.32, sub, 0.01
1736210500.8555236, 191.160.21.75, mul, 0.01
1736210500.856523, 40.14.11.61, sub, 0.01
1736210500.8575237, 66.112.134.88, mul, 0.01
1736210500.8575237, 15.238.42.69, sub, 0.01
1736210500.8585234, 103.122.129.244, mul, 0.01
1736210500.8585234, 195.42.75.169, sub, 0.01
